pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7su0	H	L	0	C	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	03/02/22	Crystal structure of an acidic pH-selective Ipilimumab variant Ipi.105 in complex with CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lee, P.S., Chau, B., Strop, P.	2.41	X-RAY DIFFRACTION	0.264	0.206	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6q20	H	L	0	A	protein	NA	neuraminidase	VIRAL PROTEIN,HYDROLASE/IMMUNE SYSTEM	08/06/19	Crystal structure of human 1E01 Fab in complex with influenza virus neuraminidase from A/Japan/305/1957 (H2N2)	INFLUENZA A VIRUS (STRAIN A/JAPAN/305/1957 H2N2); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (strain a/japan/305/1957h2n2) 	Zhu, X., Wilson, I.A.	2.45	X-RAY DIFFRACTION	0.272	0.217	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8fe3	H	L	0	B	protein	NA	prm protein	VIRUS/IMMUNE SYSTEM	02/01/23	Structure of dengue virus (DENV2) in complex with prM12, an anti-PrM monoclonal antibody	Dengue virus type 2; Mus musculus	mus musculus	mus musculus	dengue virus type 2	Dowd, A.D., Sirohi, D., Speer, S., Mukherjee, S., Govero, J., Aleshnick, M., Larman, B., Sukupolvi-Petty, S., Sevvana, M., Miller, A.S., Klose, T., Zheng, A., Kielian, M., Kuhn, R.J., Diamond, M.S., Pierson, T.C.	10.2	ELECTRON MICROSCOPY / HOMOLOGY MODEL	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8fe3	M	N	0	D	protein	NA	prm protein	VIRUS/IMMUNE SYSTEM	02/01/23	Structure of dengue virus (DENV2) in complex with prM12, an anti-PrM monoclonal antibody	Dengue virus type 2; Mus musculus	mus musculus	mus musculus	dengue virus type 2	Dowd, A.D., Sirohi, D., Speer, S., Mukherjee, S., Govero, J., Aleshnick, M., Larman, B., Sukupolvi-Petty, S., Sevvana, M., Miller, A.S., Klose, T., Zheng, A., Kielian, M., Kuhn, R.J., Diamond, M.S., Pierson, T.C.	10.2	ELECTRON MICROSCOPY / HOMOLOGY MODEL	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8fe3	O	P	0	F	protein	NA	prm protein	VIRUS/IMMUNE SYSTEM	02/01/23	Structure of dengue virus (DENV2) in complex with prM12, an anti-PrM monoclonal antibody	Dengue virus type 2; Mus musculus	mus musculus	mus musculus	dengue virus type 2	Dowd, A.D., Sirohi, D., Speer, S., Mukherjee, S., Govero, J., Aleshnick, M., Larman, B., Sukupolvi-Petty, S., Sevvana, M., Miller, A.S., Klose, T., Zheng, A., Kielian, M., Kuhn, R.J., Diamond, M.S., Pierson, T.C.	10.2	ELECTRON MICROSCOPY / HOMOLOGY MODEL	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
2atk	A	B	0	C	protein	NA	voltage-gated potassium channel	IMMUNE SYSTEM/ION TRANSPORT	08/25/05	Structure of a mutant KcsA K+ channel	MUS MUSCULUS; STREPTOMYCES LIVIDANS	mus musculus	mus musculus	streptomyces lividans	Cordero-Morales, J.F., Cuello, L.G., Zhao, Y., Jogini, V., Chakrapani, S., Roux, B., Perozo, E.	2.5	X-RAY DIFFRACTION	0.261	0.238	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
8fe4	H	L	0	B	protein	NA	prm protein	VIRUS/IMMUNE SYSTEM	02/01/23	Structure of dengue virus (DENV2) in complex with prM13, an anti-PrM monoclonal antibody	Dengue virus type 2; Mus musculus	mus musculus	mus musculus	dengue virus type 2	Dowd, A.D., Sirohi, D., Speer, S., Mukherjee, S., Govero, J., Aleshnick, M., Larman, B., Sukupolvi-Petty, S., Sevvana, M., Miller, A.S., Klose, T., Zheng, A., Kielian, M., Kuhn, R.J., Diamond, M.S., Pierson, T.C.	9.8	ELECTRON MICROSCOPY / HOMOLOGY MODEL	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
8fe4	M	N	0	D	protein	NA	prm protein	VIRUS/IMMUNE SYSTEM	02/01/23	Structure of dengue virus (DENV2) in complex with prM13, an anti-PrM monoclonal antibody	Dengue virus type 2; Mus musculus	mus musculus	mus musculus	dengue virus type 2	Dowd, A.D., Sirohi, D., Speer, S., Mukherjee, S., Govero, J., Aleshnick, M., Larman, B., Sukupolvi-Petty, S., Sevvana, M., Miller, A.S., Klose, T., Zheng, A., Kielian, M., Kuhn, R.J., Diamond, M.S., Pierson, T.C.	9.8	ELECTRON MICROSCOPY / HOMOLOGY MODEL	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
8fe4	O	P	0	F	protein	NA	prm protein	VIRUS/IMMUNE SYSTEM	02/01/23	Structure of dengue virus (DENV2) in complex with prM13, an anti-PrM monoclonal antibody	Dengue virus type 2; Mus musculus	mus musculus	mus musculus	dengue virus type 2	Dowd, A.D., Sirohi, D., Speer, S., Mukherjee, S., Govero, J., Aleshnick, M., Larman, B., Sukupolvi-Petty, S., Sevvana, M., Miller, A.S., Klose, T., Zheng, A., Kielian, M., Kuhn, R.J., Diamond, M.S., Pierson, T.C.	9.8	ELECTRON MICROSCOPY / HOMOLOGY MODEL	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
5jsa	E	F	0	C | D	protein | protein	NA | NA	gp120 | gp41	VIRAL PROTEIN/IMMUNE SYSTEM	07/13/16	Uncleaved prefusion optimized gp140 trimer with an engineered 10-residue HR1 turn bound to broadly neutralizing antibodies 8ANC195 and PGT128	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Kong, L., Wilson, I.A.	6.308	X-RAY DIFFRACTION	0.322	0.281	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
5jsa	A	B	0	C	protein	NA	gp120	VIRAL PROTEIN/IMMUNE SYSTEM	07/13/16	Uncleaved prefusion optimized gp140 trimer with an engineered 10-residue HR1 turn bound to broadly neutralizing antibodies 8ANC195 and PGT128	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kong, L., Wilson, I.A.	6.308	X-RAY DIFFRACTION	0.322	0.281	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
7po5	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	04/20/22	Human coronavirus OC43 spike glycoprotein ectodomain in complex with the 47C9 antibody Fab fragment	HOMO SAPIENS; HUMAN CORONAVIRUS OC43	homo sapiens	homo sapiens	human coronavirus oc43	Hurdiss, D.L.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7po5	X	F	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	04/20/22	Human coronavirus OC43 spike glycoprotein ectodomain in complex with the 47C9 antibody Fab fragment	HOMO SAPIENS; HUMAN CORONAVIRUS OC43	homo sapiens	homo sapiens	human coronavirus oc43	Hurdiss, D.L.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7po5	Z	D	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	04/20/22	Human coronavirus OC43 spike glycoprotein ectodomain in complex with the 47C9 antibody Fab fragment	HOMO SAPIENS; HUMAN CORONAVIRUS OC43	homo sapiens	homo sapiens	human coronavirus oc43	Hurdiss, D.L.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7kra	I	J	0	A	protein	NA	er membrane protein complex subunit 1	MEMBRANE PROTEIN/IMMUNE SYSTEM	11/19/20	Cryo-EM structure of Saccharomyces cerevisiae ER membrane protein complex bound to Fab-DH4 in lipid nanodiscs	HOMO SAPIENS; SACCHAROMYCES CEREVISIAE	homo sapiens	homo sapiens	saccharomyces cerevisiae	Miller-Vedam, L.E., Schirle Oakdale, N.S., Braeuning, B., Boydston, E.A., Sevillano, N., Popova, K.D., Bonnar, J.L., Shurtleff, M.J., Prabu, J.R., Stroud, R.M., Craik, C.S., Schulman, B.A., Weissman, J.S., Frost, A.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
5zs0	B	A	0	C	protein	NA	envelope glycoprotein b,envelope glycoprotein b	VIRAL PROTEIN	04/26/18	Structure of glycoprotein B Domain IV of pseudorabies virus with 7B11 antibody	SUID ALPHAHERPESVIRUS 1; MUS MUSCULUS	mus musculus	mus musculus	suid alphaherpesvirus 1	Hu, X.L., Yang, F.L.	3.29	X-RAY DIFFRACTION	0.310	0.241	False	False	IGHV5	IGKV6	Kappa	None	None	None	None	None
2r56	I	M	0	B	protein	NA	beta-lactoglobulin	IMMUNE SYSTEM	09/03/07	Crystal Structure of a Recombinant IgE Fab Fragment in Complex with Bovine Beta-Lactoglobulin Allergen	BOS TAURUS; HOMO SAPIENS	homo sapiens	homo sapiens	bos taurus	Niemi, M., Kallio, J.M., Hakulinen, N., Rouvinen, J.	2.8	X-RAY DIFFRACTION	0.29100000000000004	0.246	False	False	IGHV3	IGKV1	Kappa	1.3e-09	-12.12	SPR	NA	17997967
2r56	H	L	0	A	protein	NA	beta-lactoglobulin	IMMUNE SYSTEM	09/03/07	Crystal Structure of a Recombinant IgE Fab Fragment in Complex with Bovine Beta-Lactoglobulin Allergen	BOS TAURUS; HOMO SAPIENS	homo sapiens	homo sapiens	bos taurus	Niemi, M., Kallio, J.M., Hakulinen, N., Rouvinen, J.	2.8	X-RAY DIFFRACTION	0.29100000000000004	0.246	False	False	IGHV3	IGKV1	Kappa	1.30e-09	-12.12	SPR	NA	17997967
7kej	H	K	0	B	protein	NA	virion spike glycoprotein	VIRAL PROTEIN/Immune System	06/23/21	BDBV-289 bound to EBOV GPdMuc Makona	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
7kej	I	L	0	C	protein	NA	virion spike glycoprotein	VIRAL PROTEIN/Immune System	06/23/21	BDBV-289 bound to EBOV GPdMuc Makona	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
7kej	G	J	0	A	protein	NA	virion spike glycoprotein	VIRAL PROTEIN/Immune System	06/23/21	BDBV-289 bound to EBOV GPdMuc Makona	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
7cu4	D	E	0	F	protein	NA	leptin receptor	CYTOKINE	08/25/21	Fab H6 in complex with Leptin Receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Yan, L., Pingdong, T., Richard, A.L., Yang, G.	3.3	X-RAY DIFFRACTION	0.282	0.230	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7cu4	A	B	0	C	protein	NA	leptin receptor	CYTOKINE	08/25/21	Fab H6 in complex with Leptin Receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Yan, L., Pingdong, T., Richard, A.L., Yang, G.	3.3	X-RAY DIFFRACTION	0.282	0.230	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7kex	G	J	0	A	protein	NA	virion spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	04/28/21	Ebola virus GP (mucin deleted, Makona strain) bound to antibody Fab EBOV-293	HOMO SAPIENS; EBOLA VIRUS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	4.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7kex	H	K	0	B	protein	NA	virion spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	04/28/21	Ebola virus GP (mucin deleted, Makona strain) bound to antibody Fab EBOV-293	HOMO SAPIENS; EBOLA VIRUS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	4.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7kex	I	L	0	C	protein	NA	virion spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	04/28/21	Ebola virus GP (mucin deleted, Makona strain) bound to antibody Fab EBOV-293	HOMO SAPIENS; EBOLA VIRUS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	4.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7kez	H	L	0	V	protein	NA	isoform l-vegf206 of vascular endothelial growth factor a	IMMUNE SYSTEM	11/10/21	Crystal structure of bH1 Fab variant (CDR H3 loop design 16_0325) in complex with VEGF	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Shi, R., Manenda, M.S., Picard, M.-E.	2.31	X-RAY DIFFRACTION	0.235	0.178	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7ket	A	B	0	C	protein	NA	factor h binding protein	IMMUNE SYSTEM	06/09/21	Factor H enhancing human antibody fragment (Fab) to meningococcal Factor H binding protein	HOMO SAPIENS; NEISSERIA MENINGITIDIS	homo sapiens	homo sapiens	neisseria meningitidis	Beernink, P.T., Sands, N.	2.0	X-RAY DIFFRACTION	0.281	0.234	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7kew	I	L	0	C	protein	NA	spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	04/28/21	Bundibugyo virus GP (mucin deleted) bound to antibody Fab BDBV-43	BUNDIBUGYO EBOLAVIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	bundibugyo ebolavirus	Murin, C.D., Ward, A.B.	4.16	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7kew	G	J	0	A	protein	NA	spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	04/28/21	Bundibugyo virus GP (mucin deleted) bound to antibody Fab BDBV-43	BUNDIBUGYO EBOLAVIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	bundibugyo ebolavirus	Murin, C.D., Ward, A.B.	4.16	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7kew	H	K	0	B	protein	NA	spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	04/28/21	Bundibugyo virus GP (mucin deleted) bound to antibody Fab BDBV-43	BUNDIBUGYO EBOLAVIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	bundibugyo ebolavirus	Murin, C.D., Ward, A.B.	4.16	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5wux	C	D	0	G	protein	NA	tumor necrosis factor alpha	IMMUNE SYSTEM	12/21/16	TNFalpha-certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, J.U.	2.9	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV1	Kappa	2.7399999999999997e-11	-14.40948636554907	SPR	NA	TBD
5wux	A	B	0	F	protein	NA	tumor necrosis factor alpha	IMMUNE SYSTEM	12/21/16	TNFalpha-certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, J.U.	2.9	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV1	Kappa	2.7399999999999997e-11	-14.40948636554907	SPR	NA	TBD
5wux	H	L	0	E	protein	NA	tumor necrosis factor alpha	IMMUNE SYSTEM	12/21/16	TNFalpha-certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, J.U.	2.9	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV1	Kappa	2.7399999999999997e-11	-14.40948636554907	SPR	NA	TBD
6bfs	H	L	0	C	protein	NA	granulocyte-macrophage colony-stimulating factor	IMMUNE SYSTEM	10/26/17	The mechanism of GM-CSF inhibition by human GM-CSF auto-antibodies	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Dhagat, U., Hercus, T.R., Broughton, S.E., Nero, T.L., Lopez, A.F., Parker, M.W.	2.0	X-RAY DIFFRACTION	0.248	0.182	False	True	IGHV1	IGKV15	Kappa	None	None	None	None	None
4xi5	D	C	0	B | A	protein | protein	NA | NA	envelope glycoprotein l | envelope glycoprotein h	Viral Protein/Immune System	01/06/15	gHgL of varicella-zoster virus in complex with human neutralizing antibodies	HUMAN HERPESVIRUS 3 STRAIN OKA VACCINE; HOMO SAPIENS	homo sapiens	homo sapiens	human herpesvirus 3 strain oka vaccine | human herpesvirus 3 strain oka vaccine	Xing, Y.	3.9	X-RAY DIFFRACTION	0.276	0.245	False	True	IGHV3	IGKV1	Kappa	4.900000000000001e-10	-12.700844971389516	SPR	NA	TBD
4dqo	H	L	0	C	protein	NA	1fd6-v1v2 scaffold zm109 hiv-1 strain	IMMUNE SYSTEM	02/16/12	Crystal Structure of PG16 Fab in Complex with V1V2 Region from HIV-1 strain ZM109	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Pancera, M., McLellan, J.S., Kwong, P.D.	2.438	X-RAY DIFFRACTION	0.230	0.201	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
5i9q	B	C	0	A	protein	NA	426c.tm4dv1-3 p120	IMMUNE SYSTEM	02/20/16	Crystal structure of 3BNC55 Fab in complex with 426c.TM4deltaV1-3 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Scharf, L., Chen, C., Bjorkman, P.J.	3.0	X-RAY DIFFRACTION	0.270	0.251	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5i9q	H	L	0	G	protein	NA	426c.tm4dv1-3 p120	IMMUNE SYSTEM	02/20/16	Crystal structure of 3BNC55 Fab in complex with 426c.TM4deltaV1-3 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Scharf, L., Chen, C., Bjorkman, P.J.	3.0	X-RAY DIFFRACTION	0.270	0.251	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6ch9	Q	R	0	G	protein	NA	envelope glycoprotein gp120	IMMUNE SYSTEM	02/22/18	Crystal structure of a natively-glycosylated B41 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Barnes, C.O., Bjorkman, P.J.	4.85	X-RAY DIFFRACTION	0.292	0.285	False	True	unknown	IGLV3	Lambda	None	None	None	None	None
6ch9	D	E	0	B	protein	NA	envelope glycoprotein gp41	IMMUNE SYSTEM	02/22/18	Crystal structure of a natively-glycosylated B41 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Barnes, C.O., Bjorkman, P.J.	4.85	X-RAY DIFFRACTION	0.292	0.285	False	True	unknown	unknown	unknown	None	None	None	None	None
6t9e	A	B	0	C	protein	NA	unknown	IMMUNE SYSTEM	01/08/09	Crystal structure of a bispecific DutaFab in complex with human PDGF	HOMO SAPIENS				Kimbung, R., Logan, D.T., Beckmann, R., Jensen, K., Speck, J., Fenn, S., Kettenberger, H.	2.989	X-RAY DIFFRACTION	0.304	0.253	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
6t9e	H	L	0	D	protein	NA	unknown	IMMUNE SYSTEM	01/08/09	Crystal structure of a bispecific DutaFab in complex with human PDGF	HOMO SAPIENS				Kimbung, R., Logan, D.T., Beckmann, R., Jensen, K., Speck, J., Fenn, S., Kettenberger, H.	2.989	X-RAY DIFFRACTION	0.304	0.253	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
6t9d	A	B	0	D	protein	NA	unknown	IMMUNE SYSTEM	01/08/09	Crystal structure of a bispecific DutaFab in complex with human VEGF121	HOMO SAPIENS				Kimbung, R., Logan, D.T., Beckmann, R., Jensen, K., Speck, J., Fenn, S., Kettenberger, H.	2.905	X-RAY DIFFRACTION	0.280	0.212	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
6t9d	H	L	0	C	protein	NA	unknown	IMMUNE SYSTEM	01/08/09	Crystal structure of a bispecific DutaFab in complex with human VEGF121	HOMO SAPIENS				Kimbung, R., Logan, D.T., Beckmann, R., Jensen, K., Speck, J., Fenn, S., Kettenberger, H.	2.905	X-RAY DIFFRACTION	0.280	0.212	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
7jgj	H	L	0	A	protein	NA	immunoglobulin a1 protease	IMMUNE SYSTEM	12/09/20	IgA1 Protease in complex with neutralizing mAb	STREPTOCOCCUS PNEUMONIAE; MUS MUSCULUS	mus musculus	mus musculus	streptococcus pneumoniae	Eisenmesser, E.Z., Zheng, H.	4.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
